id,name,unit,keyword,ancestry,criterion
1,野菜,,,,
2,きのこ,,,,
3,芋/豆,,,,
4,薬味/香草,,,,
5,果物,,,,
6,肉,,,,
7,魚,,,,
8,その他魚介,,,,
9,海藻,,,,
10,米/麺/粉物,,,,
11,豆腐/加工品,,,,
12,乳製品/卵,,,,
13,その他,,,,
14,調味料,,,,
15,日用品,,,,
16,大根,本,"だいこん,ダイコン,ﾀﾞｲｺﾝ",1,1000
17,かぶ,個,"蕪,カブ,ｶﾌﾞ",1,80
18,人参,個,"にんじん,ニンジン,ﾆﾝｼﾞﾝ",1,170
19,ごぼう,本,"牛蒡,ゴボウ,ｺﾞﾎﾞｳ",1,150
20,筍,個,"タケノコ,たけのこ,竹の子,ﾀｹﾉｺ,たけのこ（水煮）",1,200
21,蓮根,個,"れんこん,レンコン,ﾚﾝｺﾝ",1,250
22,白菜,個,"はくさい,ハクサイ,ﾊｸｻｲ",1,2000
23,小松菜,束,"こまつな,コマツナ,ｺﾏﾂﾅ",1,300
24,キャベツ,個,"きゃべつ,ｷｬﾍﾞﾂ,春きゃべつ,春ｷｬﾍﾞﾂ",1,1200
25,ほうれん草,束,"ホウレン草,ﾎｳﾚﾝｿｳ,ホウレンソウ",1,200
26,長ねぎ,本,"葱,白葱,ネギ,ﾈｷﾞ,長ネギ",1,100
27,小口ねぎ,束,"小口ネギ,ﾈｷﾞ,葱,万能ねぎ",1,100
28,みつば,束,"三つ葉,ミツバ,ﾐﾂﾊﾞ",1,50
29,春菊,束,"しゅんぎく,シュンギク,ｼｭﾝｷﾞｸ",1,200
30,にら,束,"韮,ニラ,ﾆﾗ",1,100
31,セロリ,本,ｾﾛﾘ,1,100
32,アスパラガス,本,ｱｽﾊﾟﾗｶﾞｽ,1,20
33,カリフラワー,株,ｶﾘﾌﾗﾜｰ,1,500
34,ブロッコリー,株,ﾌﾞﾛｯｺﾘｰ,1,200
35,レタス,玉,ﾚﾀｽ,1,300
36,水菜,束,"ミズナ,ﾐｽﾞﾅ",1,200
37,きゅうり,本,"キュウリ,胡瓜,ｷｭｳﾘ",1,100
38,なす,個,"茄子,ナス,ﾅｽ",1,80
39,トマト,個,"とまと,ﾄﾏﾄ",1,150
40,ミニトマト,個,"ﾐﾆﾄﾏﾄ,とまと",1,10
41,ピーマン,個,ﾋﾟｰﾏﾝ,1,35
42,パプリカ,個,ﾊﾟﾌﾟﾘｶ,1,150
43,コーン,g,"コーン,ｺｰﾝ,トウモロコシ,ﾄｳﾓﾛｺｼ,とうもろこし",1,1
44,おくら,個,"オクラ,ｵｸﾗ",1,8
45,たまねぎ,個,"玉ねぎ,玉葱,タマネギ,ﾀﾏﾈｷﾞ",1,200
46,にんにくの芽,束,"ニンニク,ﾆﾝﾆｸ",1,100
47,もやし,袋,,1,200
48,しいたけ,個,"椎茸,シイタケ,ｼｲﾀｹ,干ししいたけ",2,15
49,なめこ,g,"滑子,ナメコ,ﾅﾒｺ",2,1
50,えのき,袋,"エノキ,ｴﾉｷ",2,100
51,しめじ,袋,"シメジ,ｼﾒｼﾞ",2,100
52,エリンギ,本,ｴﾘﾝｷﾞ,2,40
53,マッシュルーム,個,ﾏｯｼｭﾙｰﾑ,2,10
54,舞茸,袋,"まいたけ,マイタケ,ﾏｲﾀｹ",2,100
55,かぼちゃ,個,"南瓜,カボチャ,ｶﾎﾞﾁｬ",3,1200
56,いんげん,本,"インゲン,ｲﾝｹﾞﾝ,インゲン豆,いんげん豆",3,10
57,えんどうまめ,g,"えんどう豆,さやえんどう,エンドウ豆,ｴﾝﾄﾞｳ",3,1
58,グリンピース,g,ｸﾞﾘﾝﾋﾟｰｽ,3,1
59,そらまめ,g,"空豆,ソラ豆,ソラマメ,ｿﾗﾏﾒ",3,1
60,えだ豆,g,"枝豆,エダマメ,ｴﾀﾞﾏﾒ",3,1
61,小豆,g,"あずき,アズキ,ｱｽﾞｷ",3,1
62,里芋,個,"里いも,サトイモ,さといも,ｻﾄｲﾓ",3,50
63,ながいも,本,"長芋,ナガイモ,ﾅｶﾞｲﾓ",3,400
