id,name,unit,keyword,ancestry
1,野菜,,,
2,きのこ,,,
3,芋/豆,,,
4,薬味/香草,,,
5,果物,,,
6,肉,,,
7,魚,,,
8,その他魚介,,,
9,海藻,,,
10,米/麺,,,
11,豆腐/加工品,,,
12,乳製品/卵,,,
13,その他,,,
14,調味料,,,
15,大根,本,"だいこん,ダイコン,ﾀﾞｲｺﾝ",1
16,かぶ,個,"蕪,カブ,ｶﾌﾞ",1
17,人参,個,"にんじん,ニンジン,ﾆﾝｼﾞﾝ",1
18,ごぼう,本,"牛蒡,ゴボウ,ｺﾞﾎﾞｳ",1
19,筍,g,"タケノコ,たけのこ,竹の子,ﾀｹﾉｺ,たけのこ（水煮）",1
20,蓮根,g,"れんこん,レンコン,ﾚﾝｺﾝ",1
21,白菜,個,"はくさい,ハクサイ,ﾊｸｻｲ",1
22,小松菜,束,"こまつな,コマツナ,ｺﾏﾂﾅ",1
23,キャベツ,個,"きゃべつ,ｷｬﾍﾞﾂ,春きゃべつ,春ｷｬﾍﾞﾂ",1
24,ほうれん草,束,"ホウレン草,ﾎｳﾚﾝｿｳ,ホウレンソウ",1
25,ねぎ,本,"葱,白葱,ネギ,ﾈｷﾞ",1
26,みつば,束,"三つ葉,ミツバ,ﾐﾂﾊﾞ",1
27,春菊,束,"しゅんぎく,シュンギク,ｼｭﾝｷﾞｸ",1
28,にら,束,"韮,ニラ,ﾆﾗ",1
29,セロリ,本,ｾﾛﾘ,1
30,アスパラガス,本,ｱｽﾊﾟﾗｶﾞｽ,1
31,カリフラワー,株,ｶﾘﾌﾗﾜｰ,1
32,ブロッコリー,株,ﾌﾞﾛｯｺﾘｰ,1
33,レタス,玉,ﾚﾀｽ,1
34,水菜,束,"ミズナ,ﾐｽﾞﾅ",1
35,パセリ,g,ﾊﾟｾﾘ,1
36,きゅうり,本,"キュウリ,胡瓜,ｷｭｳﾘ",1
37,なす,個,"茄子,ナス,ﾅｽ",1
38,トマト,個,"とまと,ﾄﾏﾄ",1
39,ミニトマト,個,"ﾐﾆﾄﾏﾄ,とまと",1
40,ピーマン,個,ﾋﾟｰﾏﾝ,1
41,パプリカ,個,ﾊﾟﾌﾟﾘｶ,1
42,とうもろこし,本,"コーン,ｺｰﾝ,トウモロコシ,ﾄｳﾓﾛｺｼ",1
43,おくら,個,"オクラ,ｵｸﾗ",1
44,たまねぎ,個,"玉ねぎ,玉葱,タマネギ,ﾀﾏﾈｷﾞ",1
45,にんにくの芽,束,"ニンニク,ﾆﾝﾆｸ",1
46,もやし,袋,,1
47,しいたけ,個,"椎茸,シイタケ,ｼｲﾀｹ,干ししいたけ",2
48,なめこ,g,"滑子,ナメコ,ﾅﾒｺ",2
49,えのき,袋,"エノキ,ｴﾉｷ",2
50,しめじ,袋,"シメジ,ｼﾒｼﾞ",2
51,エリンギ,本,ｴﾘﾝｷﾞ,2
52,マッシュルーム,個,ﾏｯｼｭﾙｰﾑ,2
53,舞茸,袋,"まいたけ,マイタケ,ﾏｲﾀｹ",2
54,かぼちゃ,個,"南瓜,カボチャ,ｶﾎﾞﾁｬ",3
55,いんげん,本,"インゲン,ｲﾝｹﾞﾝ,インゲン豆,いんげん豆",3
56,えんどうまめ,g,"えんどう豆,さやえんどう,エンドウ豆,ｴﾝﾄﾞｳ",3
57,グリンピース,g,ｸﾞﾘﾝﾋﾟｰｽ,3
58,そらまめ,g,"空豆,ソラ豆,ソラマメ,ｿﾗﾏﾒ",3
59,えだ豆,g,"枝豆,エダマメ,ｴﾀﾞﾏﾒ",3
60,小豆,g,"あずき,アズキ,ｱｽﾞｷ",3
61,里芋,個,"里いも,サトイモ,さといも,ｻﾄｲﾓ",3
62,ながいも,本,"長芋,ナガイモ,ﾅｶﾞｲﾓ",3
63,やまいも,本,"山芋,ヤマイモ,ﾔﾏｲﾓ",3
64,さつまいも,本,"薩摩芋,さつま芋,サツマイモ,ｻﾂﾏｲﾓ",3
65,じゃがいも,個,"ジャガイモ,じゃが芋,ジャガ芋,ｼﾞｬｶﾞｲﾓ",3
